Player, P-Val, A-Val
Welbeck,0.5867530568091462,0.6724137931034483
Lacazette,1.6033761374127091,1.2826086956521738
Aubameyang,1.9759220589840867,1.8807339449541285
Nketiah,0.5528132283139547,0.5813953488372093
Mousset,0.6101160669534212,1.9534883720930232
King,1.5336374653117006,1.6229508196721312
Solanke,0.5990381342085018,1.3529411764705883
Surridge,0.5335492624041327,0.09302325581395349
Murray,1.307683164281126,0.6666666666666666
Locadia,0.7841873809225338,0.057692307692307696
Andone,0.7088516420260618,0.10638297872340426
Barnes,1.3031263306286607,1.0
Wood,1.3375477616830016,2.193548387096774
Vydra,0.6022937321226015,0.7647058823529411
Niasse,0.6945983287167986,0.06666666666666667
Giroud,0.7628757788914485,1.0149253731343284
Zaha,1.61759045117368,1.8181818181818181
Benteke,0.6961652647161581,0.7368421052631579
Wickham,0.5487938168856742,0.3488372093023256
Ayew,0.7699594088192165,2.588235294117647
Batshuayi,0.7408958826234574,0.42424242424242425
Calvert-Lewin,1.008032602651201,2.0655737704918034
Tosun,0.789050662267537,0.42105263157894735
Vardy,1.735987862252627,2.1649484536082473
Iheanacho,0.7495064475472725,1.1228070175438596
Firmino,1.6036972444009554,1.6666666666666667
Origi,0.6356932190418536,1.2745098039215685
Agüero,1.9128607091731642,1.1379310344827587
Jesus,0.9268186149895687,1.4747474747474747
Rashford,1.3733610888636152,1.9887640449438202
Lukaku,1.2645838516879653,0.0
Greenwood,0.5538606999761687,2.1458333333333335
Pérez,1.5214392129604366,2.15
Joselu,0.6563383183308775,0.0
Muto,0.6305362748202425,0.17647058823529413
Ings,1.033793112917174,2.6052631578947367
Long,0.8305420339820153,1.3478260869565217
Austin,0.7496964654682322,0.0
Obafemi,0.5727306207771738,0.9183673469387755
Gallagher,0.5378571758106081,0.0
Kane,1.635495758350516,1.4363636363636363
Janssen,0.5393571905971458,0.0
Gray,0.9097529458219166,0.7090909090909091
Deeney,1.326650613256642,1.7580645161290323
Success,0.7384101608108566,0.0851063829787234
Arnautovic,1.204655700794925,0.0
Carroll,0.6081573814596671,0.6296296296296297
Chicharito,0.9102083703628167,0.15
Xande Silva,0.5335139147141852,0.0
Jiménez,1.8386135715027836,2.425
